Project Length,5
CRF,0.1
Annual Capture Amount (MTCO2/yr),80.00000000000001
Total Cost ($M/yr),4797.858479844666
Capture Cost ($M/yr),4449.31575
Transport Cost ($M/yr),121.35634984466667
Storage Cost ($M/yr),227.18638000000004

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
12,5.319,413.12673000000007
11,3.096,213.71688
6,17.901,646.58412
4,4.635,333.2565
19,2.529,173.79288000000003
1,6.7310000000000025,551.4708300000002
18,4.059,294.76458
5,2.034,136.40004
2,7.236,419.688
16,20.331,852.07221
17,6.129,414.44298

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
6,13.283999999999999,37.59372
5,7.236000000000001,19.82664
7,25.65,71.0505
4,19.172666666666668,54.45037333333333
3,14.657333333333334,44.265146666666666

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,25.65,null
581660,580341,12.441666666666666,null
205577,209527,4.059,null
341295,346579,24.57,null
161974,171222,3.096,5.87899248
373359,622999,13.283999999999999,null
176239,177561,4.635,null
241059,243696,7.236,null
205578,205577,4.059,null
177561,180218,4.635,null
659524,659530,2.5290000000000004,null
239737,241059,7.236,null
648113,649437,13.283999999999999,null
346579,358468,24.57,null
593579,584326,6.7310000000000025,12.315632744
649437,657366,13.283999999999999,null
248042,250684,25.65,null
243696,254257,7.236,null
267887,471474,25.65,null
646791,648113,13.283999999999999,null
250684,267887,25.65,null
270438,269118,20.331,null
577696,581660,24.57,null
212167,213487,7.154999999999866,null
625440,641280,7.236000000000001,null
80029,87961,3.0959999999999996,2.786846768
209527,212167,7.155,null
394128,577696,24.57,null
180218,229069,22.536,null
171222,209527,3.096,27.720440016
178898,180218,17.901,null
622999,624321,13.283999999999999,null
581660,608066,12.128333333333334,12.289456766666667
87961,161974,3.096,23.97135104
664847,670134,14.657333333333334,null
618626,662206,12.128333333333334,20.348269913333333
269118,245397,20.331,null
608066,618626,12.128333333333334,null
213487,373359,13.283999999999999,null
662206,664847,14.657333333333334,null
624321,646791,13.283999999999999,null
254257,625440,7.236000000000001,null
358468,394128,24.57,null
684605,663482,2.5290000000000004,null
663482,659524,2.5290000000000004,null
584326,580341,6.7310000000000025,11.592302183999998
594899,593579,6.7310000000000025,2.3222667759999998
659530,662190,2.5290000000000004,null
229069,341295,22.536,null
245397,248042,20.331,null
662190,662206,2.5290000000000004,null
670134,674100,14.657333333333334,2.1307911566666666
