Project Length,30
CRF,0.1
Annual Capture Amount (MTCO2/yr),110.0
Total Cost ($M/yr),14894.84976212638
Capture Cost ($M/yr),13719.899919999998
Transport Cost ($M/yr),694.1858749185781
Storage Cost ($M/yr),480.76396720780315

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
19,2.5290000000000004,416.65288000000004
1,7.2360000000000015,1100.5254800000002
11,3.096000000000001,497.61688000000004
8,1.2600000000000002,227.8786
20,5.013000000000001,787.26584
17,6.129000000000001,823.44298
2,7.2360000000000015,959.4280000000001
6,17.901000000000003,1301.3841200000002
7,3.2760000000000007,662.2182400000002
10,17.928000000000004,2172.9544000000005
16,20.331000000000003,1692.77221
13,1.7820000000000005,311.4923600000001
4,4.635000000000001,736.1065000000001
5,2.0340000000000003,306.94004
3,0.23599999999996973,118.49007999999677
12,5.319000000000001,839.82673
18,4.059000000000001,764.9045800000001

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
4,16.600000000000005,71.85110000000002
7,28.166670003000007,99.73597591563934
6,18.300000000000004,72.22199999999944
3,12.0,81.86859999999444
1,6.29999999699997,31.29059999216992
5,16.0,65.2226
2,12.633330000000004,58.57309130000001

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
581660,580341,9.36399999648928,1.151502719789427
471474,480732,28.166670006431996,4.960527102133002
205577,209527,3.324330012269094,1.5771804659686866
341295,346579,24.570000000000004,3.801259300000001
205578,216196,0.7346699839765121,3.747405883038144
116949,237111,0.9493299969999704,6.42285339408234
373359,622999,29.764000013568012,64.85850618222359
161974,171222,20.310670003000002,1.91443065189053
176239,177561,4.635000000774583,0.2855789000477251
357169,346579,8.185329999999986,2.611528776099997
670424,665132,12.724,1.57206556
665237,677106,11.464,3.28540664
241059,243696,8.185329996999972,1.2313420018899772
205578,205577,3.324330014000005,0.7567408806017806
200332,216196,1.7819999980000003,1.1628407195924726
177561,180218,4.635000010964459,2.148015305081302
148825,156740,1.7819999999999987,4.293487619999999
239737,241059,7.2360000000000015,0.36036496000000007
753059,912866,6.29999999699997,54.956150984147506
346579,358468,32.75532999337421,2.8649110482794944
648113,649437,18.300000013568017,2.2427760010830498
254554,269118,2.516670014165449,2.6298529164113735
665006,659718,3.2760000000000007,1.9231192400000001
649437,657366,18.300000014580338,1.6897180019850513
593579,584326,7.236000003510724,4.105196601400571
248042,250684,28.166670003000007,7.632707336802582
243696,254257,8.185329996999972,1.4698823084299164
116943,116949,0.9493299983730862,0.2945803235489442
668810,670130,5.013000006929009,0.37132211029427503
267887,471474,28.166670006431996,67.33953258901094
646791,648113,18.300000013568017,0.30185900014576716
270438,269118,20.331000003110063,1.0346333001582693
662463,641280,12.723999956624978,10.428859659946859
250684,267887,28.166670003000007,10.608187593685646
577696,581660,13.822000002371308,0.6353789200636933
212167,213487,23.635000017000007,0.3878996501970301
218842,254554,2.516670008269585,3.663556300238161
80029,87961,2.3826700029999968,0.8318875607082696
99895,106500,20.310670003000002,2.0654671091767973
209527,212167,23.635000017000007,0.8387031004260201
106500,161974,20.310670003000002,12.86228978358007
394128,577696,13.822000001000001,32.39828476136958
180218,229069,22.536000000000005,14.07042848
118263,116943,0.23599999999996152,0.3451367199999966
624321,665237,11.464,8.23871376
171222,209527,20.310670004730913,9.026447026216625
178898,180218,17.900999999225423,0.32144258999102265
622999,624321,29.764000013568012,0.3781862001295745
581660,608066,4.4580000058820275,2.257003121621322
664847,670134,6.986999993524248,0.6944875995803712
87961,99895,2.3826700029999968,3.702391740717008
474417,495532,18.933329995999976,5.352345379055755
618626,662206,4.457999999011514,3.7370811995488546
269118,245397,22.847670025269597,17.40477513568512
156740,200332,1.7820000035772514,2.8531710257275584
649158,641280,3.2759999989345427,4.110519199374896
213487,373359,29.764000017000008,47.522259340402215
608066,618626,4.457999999011514,1.3417078798380266
216196,218842,2.516669989999997,0.30434216191279984
662206,664847,6.986999993364802,0.3149879293492418
624321,646791,18.30000001427732,5.1462460026116075
237111,241059,0.9493300034319777,0.8772508957433929
677106,670424,12.724,14.66651032
358468,394128,13.822000008397975,6.442611702287188
659718,649158,3.27600000739797,2.410352282545124
80029,81349,0.7133299970000042,0.21648343745384022
684605,663482,2.5289999990000003,3.823625518488088
711424,677106,1.2600000000000002,2.7573756000000005
584326,580341,7.236000003510724,3.8640669612370386
254257,357169,8.185329996999972,22.15264441062253
594899,593579,7.2360000000000015,0.7740992400000002
663482,663486,2.5290000020000005,0.36142446003645456
81349,115623,0.7133299970000007,3.825651460917151
229069,341295,22.536000000000005,35.600713520000006
115623,116943,0.7133300002649535,0.06941221460413857
662190,662206,2.528999994353288,3.4056941777065077
663486,662190,2.528999997353288,1.9259433002413169
245397,248042,22.84767000500001,6.239198680654551
358468,474417,18.933329995999976,72.70410156539054
507333,753059,6.29999999599997,30.818500987709626
670130,670134,5.0130000044872665,1.7816891403108248
670134,674100,12.000000001,0.7061100000323399
495532,507333,18.933329995999976,17.169578008112587
665132,662463,12.723999996366437,4.753371279193944
