Project Length,0
CRF,0.1
Annual Capture Amount (MTCO2/yr),65.0
Total Cost ($M/yr),18922.931216930003
Capture Cost ($M/yr),16411.70565
Transport Cost ($M/yr),1600.88231693
Storage Cost ($M/yr),910.3432500000001

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
16,20.331,4260.36105
6,17.901,3232.9206
17,6.129,2072.2149
5,2.034,682.0002
19,2.529000000000006,868.9644000000021
2,7.236,2098.44
12,0.14600000000000152,56.69910000000059
4,4.634999999999988,1666.2824999999957
18,4.059,1473.8229000000001

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
5,14.513000000000032,198.82810000000043
6,10.187999999999999,144.16019999999997
7,20.477000000000032,283.60645000000045
4,17.292999999999957,245.56059999999937
3,2.5289999999999964,38.18789999999994

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,20.477000000000032,null
581660,580341,17.292999999999957,null
205577,209527,4.058999999999999,34.82852201
341295,346579,17.292999999999957,null
178898,180218,10.623999999999967,null
373359,622999,10.187999999999999,757.3054648799999
622999,624321,10.187999999999999,4.41706388
178898,180220,7.277000000000033,null
176239,177561,4.635,5.7112699
664847,670134,2.52899999999999,null
241059,243696,7.236,null
269118,245397,20.33100000000003,null
205578,205577,4.059000000000001,16.711190370000004
180218,177561,10.623999999999967,null
213487,373359,10.187999999999999,554.88189988
662206,664847,2.52899999999999,null
624321,646791,10.187999999999999,84.57551115999999
239737,241059,7.235999999999999,null
254257,625440,14.513000000000032,null
648113,649437,10.187999999999999,36.856896879999994
346579,358468,17.292999999999957,null
358468,394128,17.292999999999957,null
649437,657366,10.187999999999999,27.76937648
177561,229069,15.258999999999958,null
248042,250684,20.477000000000032,null
684605,663482,2.5289999999997264,null
243696,254257,14.513000000000032,null
267887,471474,20.477000000000032,null
180220,243696,7.277000000000032,null
646791,648113,10.187999999999999,4.96011504
250684,267887,20.477000000000032,null
663482,663486,2.5289999999997215,null
270438,269118,20.33100000000003,null
577696,581660,17.292999999999957,null
212167,213487,4.059000000000207,3.93776745
625440,641280,14.513000000000032,null
229069,341295,15.258999999999958,null
209527,212167,4.058999999999999,8.514039799999999
245397,248042,20.33100000000003,null
662190,662206,2.52899999999999,null
663486,662190,2.5289999999998543,null
394128,577696,17.292999999999957,null
670134,674100,2.5289999999999964,null
