Project Length,0
CRF,0.1
Annual Capture Amount (MTCO2/yr),110.00000000000001
Total Cost ($M/yr),36673.49353068999
Capture Cost ($M/yr),34855.3747
Transport Cost ($M/yr),269.5329306899922
Storage Cost ($M/yr),1548.5858999999978

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
6,17.901,3232.9206
17,6.129,2072.2149
13,0.9920000000000018,416.54080000000073
5,2.034,682.0002
11,3.096,1068.5844
19,2.529,868.9644000000001
2,7.236,2098.44
7,3.276,1551.8411999999998
8,1.26,555.0930000000001
14,1.026,477.3465
4,4.635,1666.2825
16,20.331,4260.36105
12,5.319,2065.63365
1,7.236,2964.2273999999998
10,17.928,7153.272
18,4.059,1473.8229000000001
20,5.013,2247.8291999999997

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
5,17.78900000000003,243.7093000000004
6,32.472,459.47880000000004
7,27.66800000000003,383.20180000000045
4,24.528999999999957,348.3117999999994
3,7.541999999999849,113.88419999999772

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,26.64200000000003,null
581660,580341,17.292999999999957,null
205577,209527,4.059000000000001,null
341295,346579,17.29299999999997,null
161974,171222,21.024,null
373359,622999,31.212000000000003,null
176239,177561,4.635,null
412096,480732,1.026,49.096677039999996
677106,665237,1.2599999999833689,8.556723199987172
241059,243696,7.235999999999999,null
205578,205577,4.059,null
180218,177561,10.623999999999967,null
200332,216196,0.9920000000000018,7.726949840000001
148825,156740,0.9920000000000018,18.390723760000007
239737,241059,7.235999999999999,null
648113,649437,31.21200000000115,null
346579,358468,17.292999999999957,null
593579,584326,7.236,null
649437,657366,31.21200000000115,null
665006,659718,3.276,9.61551068
248042,250684,26.64200000000003,null
665237,665248,1.260000000016824,3.2967242000049994
243696,254257,14.51300000000003,null
668810,670130,5.013000000000152,1.8565504200001772
267887,471474,26.64200000000003,null
646791,648113,31.21200000000115,null
250684,267887,26.64200000000003,null
270438,269118,20.33100000000003,null
577696,581660,17.292999999999957,null
212167,213487,25.083000000000002,null
625440,641280,14.513000000000032,null
80029,87961,3.0960000000000005,null
209527,212167,25.083000000000002,null
99895,106500,17.928,null
106500,161974,17.928,null
394128,577696,17.292999999999957,null
171222,209527,21.024,null
178898,180218,10.623999999999967,null
622999,624321,31.212000000000003,null
178898,180220,7.277000000000033,null
87961,161974,3.096,null
664847,670134,2.5289999999996975,null
269118,245397,20.33100000000003,null
156740,200332,0.9920000000000018,12.221325520000004
649158,641280,3.276,20.552540479999998
414746,412096,1.026,8.39334272
213487,373359,31.212000000000003,null
216196,218842,0.9920000000000018,1.7844512800000003
662206,664847,2.52899999999999,null
624321,646791,31.21200000000115,null
254257,625440,14.513000000000032,null
665248,660008,1.2599999999999998,22.086786999999998
358468,394128,17.292999999999957,null
659718,649158,3.276,12.05182692
177561,229069,15.25899999999997,null
684605,663482,2.5289999999997264,null
711424,677106,1.2599999999999998,20.740288200000002
218842,245397,0.9920000000000018,61.39591912000001
584326,580341,7.236,null
660008,657366,1.2599999999988538,0.7687979999999206
180220,243696,7.277000000000032,null
594899,593579,7.236,null
663482,663486,2.5289999999997215,null
229069,341295,15.25899999999997,null
245397,248042,21.323000000000032,null
662190,662206,2.5290000000000052,null
663486,662190,2.5289999999996713,null
670130,670134,5.012999999999996,8.908515829999995
670134,674100,7.541999999999849,2.089276479999965
