Project Length,0
CRF,0.1
Annual Capture Amount (MTCO2/yr),95.00000000000001
Total Cost ($M/yr),30213.78643216571
Capture Cost ($M/yr),28236.957
Transport Cost ($M/yr),643.519582165528
Storage Cost ($M/yr),1333.3098500001843

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
19,2.529,868.9644000000001
12,5.319,2065.63365
18,4.059,1473.8229000000001
10,14.494999999999997,5783.504999999999
2,7.236,2098.44
6,17.901,3232.9206
17,6.129,2072.2149
16,20.331,4260.36105
1,7.236,2964.2273999999998
4,4.635,1666.2825
11,3.096,1068.5844
5,2.034,682.0002

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
5,15.199599999765299,208.2345199967846
6,27.779000000217565,393.07285000307854
4,23.842400000234374,338.5620800033281
7,25.64999999978243,355.25249999698667
3,2.529000000000413,38.18790000000624

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
649437,657366,14.494999998827396,8.705841949295722
171222,209527,14.49499999897661,43.40455274693551
373359,622999,14.494999998827396,237.41954793079344
161974,171222,14.49500000105084,9.205339650667357
622999,624321,14.494999998827396,1.3847073498879812
646791,648113,14.494999998827396,1.555023599874203
594899,593579,0.5050000011725935,0.356474450827722
212167,213487,14.494999998827403,1.679825549864108
213487,373359,14.494999998827396,173.95855358592723
593579,586970,0.5050000011722426,1.7128236539759305
209527,212167,14.494999998884321,3.6321570997204335
99895,106500,14.494999998001049,16.669504096842843
624321,646791,14.494999998827396,26.514833797855026
648113,649437,14.494999998827396,11.554834199065247
106500,161974,14.494999999871649,103.80847034945234
586970,580341,0.5050000011722426,1.9570921545429443
