Project Length,0
CRF,0.1
Annual Capture Amount (MTCO2/yr),110.00000000000001
Total Cost ($M/yr),36579.42646807
Capture Cost ($M/yr),34812.8727
Transport Cost ($M/yr),217.3147680699997
Storage Cost ($M/yr),1549.2389999999996

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
8,1.26,555.0930000000001
1,7.236,2964.2273999999998
13,1.782,748.2618
19,2.529,868.9644000000001
16,20.331,4260.36105
12,5.319,2065.63365
17,6.129,2072.2149
10,17.928,7153.272
2,7.236,2098.44
14,1.0259999999999958,477.34649999999806
6,17.901,3232.9206
5,2.034,682.0002
20,5.013,2247.8291999999997
18,4.059,1473.8229000000001
11,3.096,1068.5844
7,2.486000000000002,1177.618200000001
4,4.635,1666.2825

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
7,26.675999999999995,369.4625999999999
3,7.542000000000024,113.88420000000036
5,16.999000000001093,232.88630000001496
6,34.25399999999896,484.6940999999853
4,24.528999999999936,348.3117999999991

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,25.65,null
581660,580341,17.292999999999935,null
205577,209527,5.841000000000006,null
341295,346579,17.293000000000287,null
373359,622999,32.99400000000001,null
161974,171222,21.024,null
176239,177561,4.635,null
412096,480732,1.0259999999999958,49.09667703999998
677106,665237,1.259999999997873,8.556723199998359
241059,243696,7.236,null
205578,205577,5.841000000000006,null
593579,586970,7.236,null
148825,156740,1.782,21.467402460000002
239737,241059,7.236,null
346579,358468,17.292999999999935,null
648113,649437,32.99400000000001,null
665006,659718,2.486000000000002,8.531290980000003
649437,657366,32.99400000000001,null
248042,250684,25.65,null
665237,665248,1.2599999999989564,3.296724200002158
243696,254257,14.512999999999714,null
668810,670130,5.013,1.85655042
267887,471474,25.65,null
646791,648113,32.99400000000001,null
270438,269118,20.331,null
250684,267887,25.65,null
159378,176534,1.782,7.7819641399999995
577696,581660,17.292999999999935,null
212167,213487,26.86500000000001,null
625440,641280,14.512999999999714,null
80029,87961,3.0959999999999996,null
99895,106500,17.928,null
178883,180218,4.635,null
209527,212167,26.86500000000001,null
106500,161974,17.927999999999592,null
394128,577696,17.292999999999935,null
180218,229069,15.259000000000285,null
171222,209527,21.024,null
178898,180218,10.624000000000285,null
622999,624321,32.99400000000001,null
178898,180220,7.276999999999715,null
87961,161974,3.0960000000004086,null
177856,205578,1.7820000000000065,22.252862140000012
664847,670134,2.529000000000024,null
156740,159378,1.782,1.76369872
176534,177856,1.782,0.7958826400000001
269118,245397,20.331,null
649158,641280,2.486000000000002,18.235091280000006
213487,373359,32.99400000000001,null
414746,412096,1.0259999999999958,8.393342719999993
662206,664847,2.529000000000024,null
177561,178883,4.635,null
624321,646791,32.99400000000001,null
254257,625440,14.512999999999714,null
665248,660008,1.2599999999989564,22.086786999997923
586970,580341,7.236,null
659718,649158,2.486000000000002,10.692892620000002
358468,394128,17.292999999999935,null
684605,663482,2.5289999999999964,null
663491,662190,2.5290000000006634,null
711424,677106,1.2600000000007148,20.740288200001338
663482,663491,2.5290000000004516,null
180220,243696,7.276999999999715,null
660008,657366,1.2599999999989564,0.7687979999999277
594899,593579,7.235999999999999,null
229069,341295,15.259000000000285,null
662190,662206,2.529000000000024,null
245397,248042,20.331,null
670130,670134,5.013,8.908515829999999
670134,674100,7.542000000000024,2.08927648
