Project Length,5
CRF,0.1
Annual Capture Amount (MTCO2/yr),95.0
Total Cost ($M/yr),6144.98648829548
Capture Cost ($M/yr),5640.07911
Transport Cost ($M/yr),238.1520782954812
Storage Cost ($M/yr),266.75529999999924

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
1,3.8030000000000017,311.5797900000001
4,4.635,333.2565
6,17.901,646.58412
10,17.928,1430.6544
16,20.331,852.07221
5,2.034,136.40004
2,7.236,419.688
11,3.096,213.71688
18,4.059,294.76458
17,6.129,414.44298
19,2.529,173.79288000000003
12,5.319,413.12673000000007

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
4,21.685999999999467,61.588239999998486
7,25.65,71.0505
6,31.21199999999673,88.32995999999075
5,13.923000000003661,38.149020000010026
3,2.529,7.63758

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,25.65,null
581660,580341,17.88299999999975,null
205577,209527,4.059000000001035,null
341295,346579,17.882999999999612,null
373359,622999,31.212000000000003,96.78136422000131
161974,171222,21.024,3.5261069920000003
176239,177561,4.635,null
241059,243696,7.236000000000001,null
205578,205577,4.059,null
177561,180218,4.635,null
239737,241059,7.236,null
648113,649437,31.212000000000003,4.911085039999541
346579,358468,17.882999999999612,null
649437,657366,31.212000000000003,3.700194339999654
593579,584326,3.8029999999997166,null
248042,250684,25.65,null
243696,254257,13.923000000000389,null
267887,471474,25.65,null
646791,648113,31.212000000000003,0.6609223199999382
250684,267887,25.65,null
270438,269118,20.331,null
577696,581660,17.88299999999975,null
212167,213487,25.083000000000002,0.684768380069559
625440,641280,13.923000000003661,null
80029,87961,3.096,null
99895,106500,17.928,3.8043454080000005
209527,212167,25.083000000000002,1.4806103601504015
106500,161974,17.928,23.691368208
394128,577696,17.882999999999612,null
180218,229069,15.848999999999611,null
171222,209527,21.024,16.62614392
178898,180218,11.213999999999611,null
622999,624321,31.212000000000003,0.5644692600573384
178898,180220,6.687000000000388,null
87961,161974,3.096,null
664847,670134,2.529,null
269118,245397,20.331,null
213487,373359,31.212000000000003,70.91222176720333
662206,664847,2.529,null
624321,646791,31.212000000000003,10.808478080000144
254257,625440,13.923000000000389,null
358468,394128,17.882999999999612,null
684605,663482,2.528999999999897,null
584326,580341,3.8029999999997166,null
180220,243696,6.687000000000388,null
663482,663486,2.529,null
594899,593579,3.8030000000000017,null
229069,341295,15.848999999999613,null
662190,662206,2.529,null
245397,248042,20.331,null
663486,662190,2.529,null
670134,674100,2.529,null
