Project Length,5
CRF,0.1
Annual Capture Amount (MTCO2/yr),110.0
Total Cost ($M/yr),7308.12213256435
Capture Cost ($M/yr),6962.574539999987
Transport Cost ($M/yr),35.640792564184125
Storage Cost ($M/yr),309.9068000001792

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
13,1.781999999999327,149.65235999994349
4,4.635,333.2565
6,17.901,646.58412
10,17.928,1430.6544
11,3.096,213.71688
19,2.529,173.79288000000003
12,5.319,413.12673000000007
7,2.485999999997502,235.52363999976336
14,1.0259999999999714,95.46929999999733
1,7.236,592.84548
20,5.013,449.5658399999999
16,20.331,852.07221
5,2.034,136.40004
2,7.236,419.688
18,4.059,294.76458
17,6.129,414.44298
8,1.2600000000031988,111.01860000028185

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
4,25.11899999999961,71.33795999999889
7,26.6759999969993,73.89251999168805
6,34.254000002996726,96.93882000848075
5,16.409000000004216,44.96066000001155
3,7.542,22.77684

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,25.649999996999327,null
581660,580341,17.882999999999612,null
205577,209527,5.841000003,null
341295,346579,17.882999999999612,null
373359,622999,32.994000003000004,null
161974,171222,21.024,null
176239,177561,4.635,null
412096,480732,1.0259999999999714,6.355273459999962
677106,665237,1.2599999999967246,1.1375971599992534
241059,243696,7.236000000000001,null
205578,205577,5.841000003,null
177561,180218,4.635,null
148825,156740,1.781999999999327,4.2934804919994765
239737,241059,7.236,null
648113,649437,34.254000002996726,null
346579,358468,17.882999999999612,null
665006,659718,2.485999999997502,1.7062581959993146
649437,657366,34.254000002996726,null
593579,584326,7.235999999999999,null
248042,250684,25.649999996999327,null
665237,665248,1.2599999999999958,0.4382917999999997
243696,254257,13.923000000000389,null
668810,670130,5.013,0.371310084
267887,471474,25.649999996999327,null
646791,648113,34.254000002996726,null
250684,267887,25.649999996999327,null
270438,269118,20.331,null
159378,176534,1.7820000030000003,1.5563928288470619
577696,581660,17.882999999999612,null
212167,213487,26.865000003000002,null
625440,641280,13.923000000000389,null
665248,646791,1.2599999999967246,2.383758880001527
80029,87961,3.096,null
99895,106500,17.928,null
209527,212167,26.865000003000002,null
106500,161974,17.928,null
394128,577696,17.882999999999612,null
180218,229069,15.848999999999611,null
171222,209527,21.024,null
178898,180218,11.213999999999611,null
622999,624321,32.994000003000004,null
178898,180220,6.687000000000388,null
87961,161974,3.096,null
177856,205578,1.7820000030000003,4.450572429149462
664847,670134,2.529,null
156740,159378,1.7820000020000002,0.35273974412798403
176534,177856,1.7820000030000003,0.11162550006075
269118,245397,20.331,null
649158,641280,2.485999999997502,3.6470182559985345
414746,412096,1.0259999999999714,1.67866854399999
213487,373359,32.994000003000004,null
662206,664847,2.529,null
624321,646791,32.994000003000004,null
254257,625440,13.923000000000389,null
358468,394128,17.882999999999612,null
659718,649158,2.485999999997502,2.138578523999141
684605,663482,2.529,null
711424,677106,1.2600000000030223,2.75737708000167
584326,580341,7.235999999999999,null
180220,243696,6.687000000000388,null
663482,663486,2.528999999999662,null
594899,593579,7.235999999999999,null
229069,341295,15.848999999999611,null
662190,662206,2.529,null
245397,248042,20.330999996999328,null
663486,662190,2.5290000000004316,null
670130,670134,5.013,1.7817031659999998
670134,674100,7.542,0.48014642
