Project Length,0
CRF,0.1
Annual Capture Amount (MTCO2/yr),64.99999999999999
Total Cost ($M/yr),18935.848547480004
Capture Cost ($M/yr),16411.70565
Transport Cost ($M/yr),1613.7996474800002
Storage Cost ($M/yr),910.3432500000008

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
6,17.901,3232.9206
5,2.034,682.0002
18,4.059,1473.8229000000001
19,2.5289999999999586,868.9643999999859
16,20.331,4260.36105
12,0.14600000000003632,56.69910000001411
17,6.129,2072.2149
4,4.635000000000002,1666.2825000000005
2,7.236,2098.44

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
7,20.477000000000036,283.6064500000005
3,2.529000000000024,38.18790000000036
5,14.513000000000064,198.82810000000086
6,10.187999999999999,144.16019999999997
4,17.292999999999935,245.56059999999906

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,20.477000000000036,null
581660,580341,17.292999999999935,null
180218,229069,15.259000000000286,null
205577,209527,4.059,42.79653899000003
341295,346579,17.293000000000287,null
373359,622999,10.187999999999999,757.3054648799999
178898,180218,10.624000000000285,null
622999,624321,10.187999999999999,4.41706388
178898,180220,7.276999999999715,null
176239,177561,4.635000000000002,5.7112699
664847,670134,2.529000000000024,null
269118,245397,20.331,null
241059,243696,7.236,null
205578,205577,4.058999999999999,20.534346630000016
213487,373359,10.187999999999999,554.88189988
662206,664847,2.529000000000024,null
177561,178883,4.635,3.1557074
239737,241059,7.236,null
624321,646791,10.187999999999999,84.57551115999999
254257,625440,14.512999999999714,null
346579,358468,17.292999999999935,null
648113,649437,10.187999999999999,36.856896879999994
358468,394128,17.292999999999935,null
649437,657366,10.187999999999999,27.76937648
248042,250684,20.477000000000036,null
684605,663482,2.5289999999999964,null
663491,662190,2.5290000000002357,null
243696,254257,14.512999999999714,null
663482,663491,2.529000000000024,null
180220,243696,7.276999999999715,null
267887,471474,20.477000000000036,null
646791,648113,10.187999999999999,4.96011504
270438,269118,20.331,null
250684,267887,20.477000000000036,null
577696,581660,17.292999999999935,null
212167,213487,4.059,3.93776745
625440,641280,14.512999999999714,null
229069,341295,15.259000000000286,null
662190,662206,2.529000000000024,null
178883,180218,4.635000000000002,39.80470495
209527,212167,4.059,8.514039799999999
245397,248042,20.331,null
394128,577696,17.292999999999935,null
670134,674100,2.529000000000024,null
