Project Length,30
CRF,0.1
Annual Capture Amount (MTCO2/yr),38.232000000000006
Total Cost ($M/yr),-473.6256680200003
Capture Cost ($M/yr),2994.1563300000003
Transport Cost ($M/yr),195.40841198000004
Storage Cost ($M/yr),-3663.1904100000006

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
16,20.331000000000003,1692.77221
6,17.901000000000003,1301.3841200000002

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
3,1.4010000000000034,-124.86748000000034
7,20.331000000000003,-1959.3488300000006
4,16.5,-1578.9741

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr),Length (km)
581660,580341,16.5,1.57952,2.013496171131197
471474,480732,20.331000000000003,3.93765874,12.523380104943353
180218,229069,17.901000000000003,12.05568668,43.11779268205499
248042,250684,20.331000000000003,6.058834660000001,1.8532489234243172
608066,629202,1.4010000000000034,1.0575261000000007,16.594362210588677
341295,346579,17.901000000000003,3.0644014900000003,4.276726036710542
178898,180218,17.901000000000003,0.32144259000000003,1.2058070579242004
267887,471474,20.331000000000003,53.45409848000001,200.23703369922848
270438,269118,20.331000000000003,1.0346333,1.209036413971368
581660,608066,1.4010000000000034,1.414371640000001,24.143298044016586
250684,267887,20.331000000000003,8.420781960000001,28.905615889739657
577696,581660,17.901000000000003,0.74494086,3.0732026954504548
229069,341295,17.901000000000003,30.503047820000006,100.37867474621333
269118,245397,20.331000000000003,16.064497360000004,53.00281916555868
629202,674100,1.4010000000000034,2.5342398900000016,36.2395575934117
245397,248042,20.331000000000003,5.75874121,3.1917469335747413
346579,358468,17.901000000000003,1.8656602700000002,8.339620155409428
394128,577696,17.901000000000003,37.98480158,156.43029910587325
358468,394128,17.901000000000003,7.55352735,29.810312639309405
