Project Length,5
CRF,0.1
Annual Capture Amount (MTCO2/yr),80.00000000000001
Total Cost ($M/yr),4700.498659872191
Capture Cost ($M/yr),4449.315750000011
Transport Cost ($M/yr),26.848329871999997
Storage Cost ($M/yr),224.33458000017998

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
1,6.731000000001068,551.4708300000875
4,4.635,333.2565
6,17.901,646.58412
16,20.331,852.07221
5,2.034,136.40004
2,7.236,419.688
11,3.096,213.71688
18,4.058999999998934,294.7645799999226
17,6.129,414.44298
19,2.529,173.79288000000003
12,5.319,413.12673000000007

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
4,24.61400000000068,69.90376000000192
7,25.649999996999327,71.05049999168814
6,13.284000002999605,37.59372000848889
5,13.923000000000389,38.149020000001066
3,2.529,7.63758

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,25.649999996999327,null
581660,580341,17.882999999999612,null
205577,209527,4.058999999998934,null
341295,346579,17.882999999999612,null
373359,622999,13.284000002999605,null
161974,171222,3.096,null
176239,177561,4.635,null
241059,243696,7.236000000000001,null
205578,205577,4.058999999998934,null
177561,180218,4.635,null
239737,241059,7.236,null
648113,649437,13.284000002999605,null
346579,358468,17.882999999999612,null
649437,657366,13.284000002999605,null
593579,584326,6.731000000000785,12.315632743999998
248042,250684,25.649999996999327,null
243696,254257,13.923000000000389,null
267887,471474,25.649999996999327,null
646791,648113,13.284000002999605,null
250684,267887,25.649999996999327,null
270438,269118,20.331,null
577696,581660,17.882999999999612,null
212167,213487,7.1549999999989335,null
625440,641280,13.923000000000389,null
80029,87961,3.096,null
209527,212167,7.154999999998934,null
394128,577696,17.882999999999612,null
180218,229069,15.848999999999611,null
171222,209527,3.096,null
178898,180218,11.213999999999611,null
622999,624321,13.284000002999605,null
178898,180220,6.687000000000388,null
87961,161974,3.096,null
664847,670134,2.529,null
269118,245397,20.330999996999328,null
213487,373359,13.283999999998933,null
662206,664847,2.529,null
624321,646791,13.284000002999605,null
254257,625440,13.923000000000389,null
358468,394128,17.882999999999612,null
684605,663482,2.529,null
584326,580341,6.7310000000010675,12.210430352
180220,243696,6.687000000000388,null
663482,663486,2.5290000000000004,null
594899,593579,6.731000000001068,2.3222667759999998
229069,341295,15.848999999999611,null
662190,662206,2.529,null
245397,248042,20.330999996999328,null
663486,662190,2.5290000000004316,null
670134,674100,2.529,null
