Project Length,5
CRF,0.1
Annual Capture Amount (MTCO2/yr),64.99999999999999
Total Cost ($M/yr),3784.091136574
Capture Cost ($M/yr),3282.34113
Transport Cost ($M/yr),318.9536565739999
Storage Cost ($M/yr),182.79635000000002

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
12,0.14599999999999902,11.339819999999925
6,17.901,646.58412
4,4.635,333.2565
19,2.529,173.79288000000003
18,4.059,294.76458
5,2.034,136.40004
2,7.236,419.688
16,20.331,852.07221
17,6.129,414.44298

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
6,10.187999999999999,28.832039999999996
5,7.236,19.826639999999998
7,20.477,56.721289999999996
4,24.57,69.7788
3,2.5290000000000004,7.637580000000002

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,20.477,null
581660,580341,24.57,null
180218,229069,22.536,null
205577,209527,4.059,8.559307798
341295,346579,24.57,null
178898,180218,17.901,null
373359,622999,10.187999999999999,151.46109297599997
622999,624321,10.187999999999999,0.8834127759999999
176239,177561,4.635,1.14225398
664847,670134,2.5290000000000004,null
241059,243696,7.236,null
269118,245397,20.331,null
205578,205577,4.059,4.106869326
177561,180218,4.635,8.59208974
213487,373359,10.187999999999999,110.97637997599999
662206,664847,2.5290000000000004,null
659524,659530,2.5290000000000004,null
624321,646791,10.187999999999999,16.915102232
239737,241059,7.236,null
254257,625440,7.236,null
648113,649437,10.187999999999999,7.371379375999999
346579,358468,24.57,null
358468,394128,24.57,null
649437,657366,10.187999999999999,5.553875295999999
248042,250684,20.477,null
684605,663482,2.5290000000000004,null
243696,254257,7.236,null
267887,471474,20.477,null
663482,659524,2.529,null
646791,648113,10.187999999999999,0.992023008
250684,267887,20.477,null
270438,269118,20.331,null
659530,662190,2.5290000000000004,null
577696,581660,24.57,null
212167,213487,4.059000000000208,0.7875534899999939
625440,641280,7.236,null
229069,341295,22.536,null
245397,248042,20.331000000000003,null
209527,212167,4.059,1.6123166000000002
662190,662206,2.5290000000000004,null
394128,577696,24.57,null
670134,674100,2.5290000000000004,null
