Project Length,5
CRF,0.1
Annual Capture Amount (MTCO2/yr),110.00000000000001
Total Cost ($M/yr),7310.911641438
Capture Cost ($M/yr),6962.5745400000005
Transport Cost ($M/yr),35.57850143799923
Storage Cost ($M/yr),312.7585999999997

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
4,4.635,333.2565
19,2.529,173.79288000000003
13,1.782,149.65236
1,7.236,592.84548
18,4.059,294.76458
5,2.034,136.40004
2,7.236,419.688
16,20.331,852.07221
17,6.129,414.44298
20,5.013,449.5658399999999
12,5.319,413.12673000000007
11,3.096,213.71688
10,17.928,1430.6544
6,17.901,646.58412
14,1.0259999999999962,95.46929999999965
8,1.26,111.01860000000002
7,2.4860000000000015,235.52364000000017

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
6,34.253999999999905,96.93881999999974
5,9.722000000000001,26.63828
7,26.675999999999995,73.89251999999998
4,19.677666666666667,55.884573333333336
3,19.670333333333332,59.40440666666666

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,25.65,null
581660,580341,12.441666666666666,null
205577,209527,5.841,null
341295,346579,24.57,null
161974,171222,21.024,null
373359,622999,32.994,null
176239,177561,4.635,null
412096,480732,1.0259999999999962,6.355273459999996
677106,665237,1.2599999999997638,1.1375971599999462
241059,243696,7.236,null
205578,205577,5.841,null
177561,180218,4.635,null
148825,156740,1.7820000000000005,4.2934804920000005
659524,659530,2.529,null
239737,241059,7.236,null
648113,649437,34.253999999999905,null
346579,358468,24.57,null
593579,584326,7.236,null
649437,657366,34.253999999999905,null
665006,659718,2.4860000000000015,1.7062581960000005
665237,665248,1.2599999999997635,0.43829179999991774
248042,250684,25.65,null
243696,254257,7.235999999999999,null
668810,670130,5.013,0.371310084
267887,471474,25.65,null
646791,648113,34.253999999999905,null
250684,267887,25.65,null
270438,269118,20.331,null
577696,581660,24.57,null
159378,176534,1.7820000000000003,1.556392828
212167,213487,26.865000000000002,null
625440,641280,7.236000000000001,null
665248,646791,1.2599999999999074,2.383758879999956
80029,87961,3.0959999999999996,null
209527,212167,26.865000000000002,null
99895,106500,17.928,null
106500,161974,17.928,null
394128,577696,24.57,null
180218,229069,22.536,null
171222,209527,21.024,null
178898,180218,17.901,null
622999,624321,32.994,null
581660,608066,12.128333333333334,null
87961,161974,3.096,null
177856,205578,1.7820000000000003,4.450572428
664847,670134,14.657333333333334,null
156740,159378,1.7819999999999998,0.35273974399999997
176534,177856,1.7820000000000003,0.1116255
618626,662206,12.128333333333334,null
269118,245397,20.331,null
649158,641280,2.485999999999557,3.64701825599974
414746,412096,1.0259999999999962,1.6786685439999989
608066,618626,12.128333333333334,null
213487,373359,32.994,null
662206,664847,14.657333333333334,null
624321,646791,32.994,null
254257,625440,7.236000000000001,null
358468,394128,24.57,null
659718,649158,2.485999999999557,2.1385785239996737
684605,663482,2.5290000000000004,null
711424,677106,1.26,2.7573770800000004
663482,659524,2.5290000000000004,null
584326,580341,7.235999999999999,null
594899,593579,7.235999999999999,null
659530,662190,2.529,null
229069,341295,22.536,null
245397,248042,20.331,null
662190,662206,2.528999999999999,null
670130,670134,5.013,1.7817031659999998
670134,674100,19.670333333333332,0.41785529600000004
