Row #	X	Y	XY-up	XY-down
134	0.7711692	0.9265657	1.205637	1.205685
135	0.7712439	0.9265657	1.205685	1.205733
136	0.7713185	0.9265657	1.205733	1.205781
137	0.7713931	0.9265657	1.205781	1.205828
138	0.7714677	0.9265657	1.205828	1.205876
139	0.7715423	0.9265657	1.205876	1.205924
140	0.7716168	0.9265657	1.205924	1.205971
141	0.7716914	0.9265657	1.205971	1.206019
142	0.7717659	0.9265657	1.206019	1.206067
143	0.7718405	0.9265657	1.206067	1.206114
144	0.7719149	0.9265657	1.206114	1.206162
145	0.7719894	0.9265657	1.206162	1.20621
146	0.7720639	0.9265657	1.20621	1.206257
147	0.7721383	0.9265657	1.206257	1.206305
148	0.7722127	0.9265657	1.206305	1.206353
149	0.7722872	0.9265657	1.206353	1.2064
150	0.7723616	0.9265657	1.2064	1.206448
151	0.772436	0.9265657	1.206448	1.206496
152	0.7725103	0.9265657	1.206496	1.206543
153	0.7725847	0.9265657	1.206543	1.206591
154	0.7726589	0.9265657	1.206591	1.206638
155	0.7727333	0.9265657	1.206638	1.206686
156	0.7728076	0.9265657	1.206686	1.206734
157	0.7728819	0.9265657	1.206734	1.206781
158	0.7729561	0.9265657	1.206781	1.206829
159	0.7730304	0.9265657	1.206829	1.206876
160	0.7731046	0.9265657	1.206876	1.206924
161	0.7731788	0.9265657	1.206924	1.206971
162	0.773253	0.9265657	1.206971	1.207019
163	0.7733272	0.9265657	1.207019	1.207066
164	0.7734014	0.9265657	1.207066	1.207114
165	0.7734756	0.9265657	1.207114	1.207161
166	0.7735497	0.9265657	1.207161	1.207209
167	0.7736238	0.9265657	1.207209	1.207256
168	0.7736979	0.9265657	1.207256	1.207304
169	0.773772	0.9265657	1.207304	1.207351
170	0.7738461	0.9265657	1.207351	1.207399
171	0.7739201	0.9265657	1.207399	1.207446
172	0.7739941	0.9265657	1.207446	1.207494
173	0.7740681	0.9265657	1.207494	1.207541
174	0.7741422	0.9265657	1.207541	1.207589
175	0.7742162	0.9265657	1.207589	1.207636
176	0.7742901	0.9265657	1.207636	1.207683
177	0.7743641	0.9265657	1.207683	1.207731
178	0.774438	0.9265657	1.207731	1.207778
179	0.7745119	0.9265657	1.207778	1.207826
